tamanho_tabela,arquivo,num_registros,tempo_insercao_ms,total_colisoes_insercao,avg_colisoes_insercao,tempo_busca_ms,total_colisoes_busca,avg_colisoes_busca,gap_menor,gap_maior,gap_media,fator_carga
1000,teste1.txt,100000,1285.980,41791,0.42,1238.639,57254,0.5725,1,19,5.45,100.0
1000,teste2.txt,1000000,11439.739,39256,0.04,12012.527,54999,0.0550,1,19,5.54,1000.0
1000,teste3.txt,10000000,115335.175,41605,0.00,121042.936,53926,0.0054,1,19,5.70,10000.0
10000,teste1.txt,100000,10893.560,25350942,253.51,11799.758,30588821,305.8882,1,8,1.59,10.0
10000,teste2.txt,1000000,112238.769,25398462,25.40,121355.042,31439573,31.4396,1,8,1.59,100.0
10000,teste3.txt,10000000,1139099.249,25381218,2.54,1235922.730,31630241,3.1630,1,8,1.59,1000.0
100000,teste1.txt,100000,83060.670,2628785919,26287.86,191961.022,2600748347,26007.4835,1,11,1.58,1.0
100000,teste2.txt,1000000,1215283.988,2628725338,2628.73,3080839.444,2741253589,2741.2536,1,11,1.58,10.0
100000,teste3.txt,10000000,12278324.512,2628701900,262.87,30993258.248,2741305987,274.13,1,11,1.58,100.0
